,url,brand,release_date
0,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,Wayona,2018-10-15
1,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,Ambrane,2021-07-05
2,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,Sounce,2021-02-24
3,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,boAt,2020-09-03
4,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,Portronics,2020-07-08
5,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,pTron,2021-03-05
6,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,boAt,2023-09-10
7,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,MI,2020-07-21
8,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,TP-Link,2012-08-04
9,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,Ambrane,2019-12-11
10,https://www.amazon.in/Portronics-POR-1081-Charging-1-2Meter-Function/dp/B08CF3D7QR/ref=sr_1_12?qid=1672909124&s=electronics&sr=1-12,Portronics,2020-07-05
11,https://www.amazon.in/Rugged-Extra-Tough-Unbreakable-Braided/dp/B0789LZTCJ/ref=sr_1_13?qid=1672909124&s=electronics&sr=1-13,boAt,2018-04-29
12,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_14?qid=1672909124&s=electronics&sr=1-14,amazon basics,2017-01-01
13,https://www.amazon.in/Portronics-Konnect-Delivery-Support-Braided/dp/B085DTN6R2/ref=sr_1_15?qid=1672909124&s=electronics&sr=1-15,Portronics,2020-03-02
14,https://www.amazon.in/Portronics-Konnect-POR-1401-Charging-Function/dp/B09KLVMZ3B/ref=sr_1_16?qid=1672909124&s=electronics&sr=1-16,Portronics,2021-10-22
15,https://www.amazon.in/Mi-Braided-USB-Type-C-Cable/dp/B083342NKJ/ref=sr_1_17?qid=1672909124&s=electronics&sr=1-17,MI,2019-12-24
16,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_18?qid=1672909124&s=electronics&sr=1-18,32 Inches,2022-07-13
17,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B082LSVT4B/ref=sr_1_19?qid=1672909124&s=electronics&sr=1-19,Ambrane,2019-12-11
18,https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=sr_1_20?qid=1672909124&s=electronics&sr=1-20,boAt,2023-09-10
19,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_21?qid=1672909124&s=electronics&sr=1-21,32 Inches,2020-07-27
20,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22,Duracell,2023-08-04
21,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_23?qid=1672909124&s=electronics&sr=1-23,Desktop,2020-02-20
22,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_24?qid=1672909124&s=electronics&sr=1-24,32 Inches,2021-09-01
23,https://www.amazon.in/Flix-Micro-Cable-Smartphone-Black/dp/B09NHVCHS9/ref=sr_1_25?qid=1672909125&s=electronics&sr=1-25,FLiX,2021-12-13
24,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_26?qid=1672909125&s=electronics&sr=1-26,32 Inches,2022-05-22
25,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_27?qid=1672909125&s=electronics&sr=1-27,tizum,2016-10-10
26,https://www.amazon.in/OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_29?qid=1672909125&s=electronics&sr=1-29,32 Inches,2020-07-01
27,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Multipurpose/dp/B094JNXNPV/ref=sr_1_31?qid=1672909125&s=electronics&sr=1-31,Ambrane,2021-05-09
28,https://www.amazon.in/Duracell-Lightning-Certified-Braided-Charging/dp/B09W5XR9RT/ref=sr_1_32?qid=1672909125&s=electronics&sr=1-32,Duracell,2022-03-22
29,https://www.amazon.in/A400-Type-C-Cable-Meter-Black/dp/B077Z65HSD/ref=sr_1_33?qid=1672909125&s=electronics&sr=1-33,boAt,2021-01-26
30,https://www.amazon.in/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11PEY/ref=sr_1_34?qid=1672909125&s=electronics&sr=1-34,amazon basics,2016-05-26
31,https://www.amazon.in/Ambrane-Charging-Unbreakable-Braided-Connector/dp/B09CMM3VGK/ref=sr_1_35?qid=1672909125&s=electronics&sr=1-35,Ambrane,2021-08-14
32,https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSC1XY8/ref=sr_1_36?qid=1672909125&s=electronics&sr=1-36,,2020-12-16
33,https://www.amazon.in/Samsung-Original-Type-Cable-Meter/dp/B008FWZGSG/ref=sr_1_37?qid=1672909125&s=electronics&sr=1-37,Samsung,2022-01-25
34,https://www.amazon.in/pTron-3-5Amps-Charging-480Mbps-Smartphones/dp/B0B4HJNPV4/ref=sr_1_38?qid=1672909125&s=electronics&sr=1-38,pTron,2021-03-05
35,https://www.amazon.in/Solero-MB301-Charging-480Mbps-1-5-Meter/dp/B08Y1SJVV5/ref=sr_1_39?qid=1672909125&s=electronics&sr=1-39,pTron,2021-03-05
36,https://www.amazon.in/AmazonBasics-Apple-Certified-Lightning-Charging/dp/B07XLCFSSN/ref=sr_1_40?qid=1672909125&s=electronics&sr=1-40,amazon basics,2020-02-14
37,https://www.amazon.in/Sounce-Type-C-Compatible-Smartphone-Charging/dp/B09RZS1NQT/ref=sr_1_41?qid=1672909125&s=electronics&sr=1-41,Sounce,2021-02-24
38,https://www.amazon.in/OnePlus-50-inches-Android-Pro/dp/B0B3MMYHYW/ref=sr_1_42?qid=1672909125&s=electronics&sr=1-42,50 Inches,2022-06-09
39,https://www.amazon.in/DURACELL-Type-C-braided-Charge-Cable/dp/B09C6HWG18/ref=sr_1_43?qid=1672909125&s=electronics&sr=1-43,Duracell,2023-08-04
40,https://www.amazon.in/AmazonBasics-USB-2-0-Cable-Male/dp/B00NH11KIK/ref=sr_1_44?qid=1672909125&s=electronics&sr=1-44,amazon basics,2013-10-21
41,https://www.amazon.in/inches-Full-Android-L43M6-INC-Black/dp/B09JPC82QC/ref=sr_1_45?qid=1672909125&s=electronics&sr=1-45,43 Inches,2021-10-18
42,https://www.amazon.in/Wayona-Braided-WN3LB1-Syncing-Charging/dp/B07JW1Y6XV/ref=sr_1_46?qid=1672909125&s=electronics&sr=1-46,Wayona,2018-10-15
43,https://www.amazon.in/TP-Link-Archer-T2U-Nano-Wireless/dp/B07KRCW6LZ/ref=sr_1_47?qid=1672909125&s=electronics&sr=1-47,TP-Link,2018-11-21
44,https://www.amazon.in/FLiX-Charging-480Mbps-Devices-XCD-M11/dp/B09NJN8L25/ref=sr_1_48?qid=1672909125&s=electronics&sr=1-48,FLiX,2022-06-17
45,https://www.amazon.in/WeCool-Braided-Multifunction-Charging-Android/dp/B07XJYYH7L/ref=sr_1_49?qid=1672909126&s=electronics&sr=1-49,Wecool,2019-09-04
46,https://www.amazon.in/D-Link-DWA-131-Wireless-Adapter-Black/dp/B002PD61Y4/ref=sr_1_50?qid=1672909126&s=electronics&sr=1-50,D-Link,2012-03-16
47,https://www.amazon.in/AmazonBasics-High-Speed-HDMI-Cable-Feet/dp/B014I8SSD0/ref=sr_1_51?qid=1672909126&s=electronics&sr=1-51,amazon basics,2017-01-01
48,https://www.amazon.in/7SEVENTM-Compatible-Replacement-Original-BN59-01259E/dp/B09L8DSSFH/ref=sr_1_52?qid=1672909126&s=electronics&sr=1-52,7 SEVEN,2021-11-08
49,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B07232M876/ref=sr_1_53?qid=1672909126&s=electronics&sr=1-53,amazon basics,2023-10-07
50,https://www.amazon.in/TP-Link-Wireless-Adapter-Archer-T2U/dp/B07P681N66/ref=sr_1_54?qid=1672909126&s=electronics&sr=1-54,TP-Link,2019-03-28
51,https://www.amazon.in/AmazonBasics-Micro-Charging-Android-Phones/dp/B0711PVX6Z/ref=sr_1_55?qid=1672909126&s=electronics&sr=1-55,amazon basics,2023-10-07
52,https://www.amazon.in/AmazonBasics-Nylon-Braided-Lightning-Cable/dp/B082T6V3DT/ref=sr_1_57?qid=1672909126&s=electronics&sr=1-57,amazon basics,2023-09-20
53,https://www.amazon.in/Visio-World-inches-VW32A-Ready/dp/B07MKFNHKG/ref=sr_1_58?qid=1672909126&s=electronics&sr=1-58,32 Inches,2018-12-25
54,https://www.amazon.in/Ambrane-Unbreakable-Charging-RCT15-Supports/dp/B0BFWGBX61/ref=sr_1_59?qid=1672909126&s=electronics&sr=1-59,Ambrane,2022-09-20
55,https://www.amazon.in/TATASKY-Universal-Remote/dp/B01N90RZ4M/ref=sr_1_60?qid=1672909126&s=electronics&sr=1-60,Tata Play,2016-11-08
56,https://www.amazon.in/TP-Link-TL-WN823N-300Mbps-Wireless-N-Adapter/dp/B0088TKTY2/ref=sr_1_61?qid=1672909126&s=electronics&sr=1-61,TP-Link,2012-05-22
57,https://www.amazon.in/OnePlus-inches-Ready-Smart-Android/dp/B09Q5SWVBJ/ref=sr_1_63?qid=1672909126&s=electronics&sr=1-63,32 Inches,2022-01-11
58,https://www.amazon.in/WeCool-Unbreakable-Charging-Purpose-iPhone/dp/B0B4DT8MKT/ref=sr_1_64?qid=1672909126&s=electronics&sr=1-64,Wecool,2019-09-04
59,https://www.amazon.in/Portronics-Konnect-POR-1079-Charging-Micro/dp/B08CDKQ8T6/ref=sr_1_65?qid=1672909126&s=electronics&sr=1-65,Portronics,2020-07-05
60,https://www.amazon.in/Airtel-Digital-Remote-Compatible-Recording/dp/B07B275VN9/ref=sr_1_66_mod_primary_new?qid=1672909126&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-66,Airtel Digital TV,2017-11-01
61,https://www.amazon.in/Samsung-inches-Crystal-Ultra-UA43AUE65AKXXL/dp/B0B15CPR37/ref=sr_1_67?qid=1672909126&s=electronics&sr=1-67,43 Inches,2024-09-01
62,https://www.amazon.in/Lapster-Type-Cable-computer-laptop/dp/B0994GFWBH/ref=sr_1_68?qid=1672909126&s=electronics&sr=1-68,LS LAPSTER Quality Assured,2021-07-11
63,https://www.amazon.in/AmazonBasics-USB-Type-C-2-0-Cable/dp/B01GGKZ0V6/ref=sr_1_69?qid=1672909126&s=electronics&sr=1-69,amazon basics,2016-10-18
64,https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-Android/dp/B09F9YQQ7B/ref=sr_1_72?qid=1672909126&s=electronics&sr=1-72,32 Inches,2021-09-02
65,https://www.amazon.in/AmazonBasics-High-Speed-Cable-2-Pack-Black/dp/B014I8SX4Y/ref=sr_1_73?qid=1672909128&s=electronics&sr=1-73,amazon basics,2017-01-01
66,https://www.amazon.in/Portronics-Konnect-Charge-Charging-Resistant/dp/B09Q8HMKZX/ref=sr_1_74?qid=1672909128&s=electronics&sr=1-74,Portronics,2022-01-12
67,https://www.amazon.in/Acer-inches-Ready-AR32NSV53HD-Black/dp/B0B9XN9S3W/ref=sr_1_75?qid=1672909128&s=electronics&sr=1-75,32 Inches,2022-08-17
68,https://www.amazon.in/Model-P4-Swivel-32-55-inch-Motion-Cantilever/dp/B07966M8XH/ref=sr_1_76?qid=1672909128&s=electronics&sr=1-76,Wall Mount,2018-01-20
69,https://www.amazon.in/AmazonBasics-Type-C-USB-Male-Cable/dp/B01GGKYKQM/ref=sr_1_77?qid=1672909128&s=electronics&sr=1-77,amazon basics,2022-12-07
70,https://www.amazon.in/oraimo-Charging-Syncing-Indicator-Compatible/dp/B0B86CDHL1/ref=sr_1_79?qid=1672909128&s=electronics&sr=1-79,Oraimo,2025-01-12
71,https://www.amazon.in/CEDO-OnePlus-Charging-Compatible-Devices/dp/B0B5ZF3NRK/ref=sr_1_80?qid=1672909128&s=electronics&sr=1-80,CEDO,2022-07-06
72,https://www.amazon.in/Redmi-inches-Ultra-Android-L43R7-7AIN/dp/B09RFC46VP/ref=sr_1_81?qid=1672909128&s=electronics&sr=1-81,43 Inches,2022-01-28
73,https://www.amazon.in/Pinnaclz-Original-Micro-USB-Charging/dp/B08R69VDHT/ref=sr_1_82?qid=1672909128&s=electronics&sr=1-82,,2020-12-22
74,https://www.amazon.in/boAt-A750-Tangle-free-Transmission-Rebellious/dp/B09RWZRCP1/ref=sr_1_83?qid=1672909128&s=electronics&sr=1-83,boAt,2022-02-07
