product_id,product_name,category,brand,release_date
B09VT6JKRP,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,LS LAPSTER Quality Assured,2022/3/17
B09XJ1LM7R,7SEVEN庐 Compatible for Tata Sky Remote Original Set Top聽HD Box and Suitable for SD Tata Play setup Box Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",7 SEVEN,2022/4/8
B07L5L4GTB,Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",EcoTank L1110,2018/12/5
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,FLiX,2021/12/13
B00MUTWLW4,"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",Logitech,2014/9/5
B09YDFDVNS,"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Red",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,Nokia,2019/10/10
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics|PowerAccessories|SurgeProtectors,Belkin,2012/5/16
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,pTron,2021/3/5
B07WG8PDCW,"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,pTron,2020/1/14
B00GE55L22,"Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Storite,2013/11/2
B07924P3C5,Storite High Speed Micro USB 3.0 Cable A to Micro B for External & Desktop Hard Drives 45cm,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Storite,2018/1/15
B01D5H8LDM,"AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)","Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",amazon basics,2016/4/7
B0B94JPY2N,"Amazon Brand - Solimo 65W Fast Charging Braided Type C to C Data Cable | Suitable For All Supported Mobile Phones (1 Meter, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Amazon Brand - Solimo,2022/10/10
B0162K34H2,"boAt LTG 500 Apple MFI Certified for iPhone, iPad and iPod 2Mtr Data Cable(Space Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,boAt,2015/10/2
B07L5L4GTB,Epson 003 65 ml for EcoTank L1110/L3100/L3101/L3110/L3115/L3116/L3150/L3151/L3152/L3156/L5190 Black Ink Bottle,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",EcoTank L1110,2018/12/5
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Ambrane,2021/5/9
B09VH568H7,Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable聽 鈥 1 Meter,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Amazon Brand - Solimo,2022/7/1
B075ZTJ9XR,"AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black)","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",amazon basics,2017/12/13
B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,Electronics|Accessories|MemoryCards|MicroSD,SanDisk,2022/5/26
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Ambrane,2021/5/9
B0B3MQXNFB,"FLiX (Beetel Flow USB to Micro USB PVC Data Sync & 12W(2.4A) Fast Charging Cable,Made in India,480Mbps Data Sync,Solid Cable,1 Meter Long cable for all Andriod & Micro USB Devices (Black)(XCD-FPM01)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,FLiX,2022/6/9
B08RWCZ6SY,7SEVEN庐 Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube and NETFLIX Hotkeys. Universal Replacement for Original Sony Smart Android tv Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",7 SEVEN,2021/1/1
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Duracell,2023/8/4
B09V12K8NT,"boAt Wave Lite Smartwatch with 1.69"" HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)",Electronics|WearableTechnology|SmartWatches,manual,2022/3/25
B09M8888DM,Portronics MPORT 31 4 Ports USB Hub (USB A to 4 USB-A Ports 4 in 1 Connector USB HUB(Grey),Computers&Accessories|Accessories&Peripherals|USBHubs,Portronics,2021/11/19
B09C6H53KH,"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for fast data transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Duracell,2021/8/9
B084N133Y7,"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,Belkin,2020/4/2
